Wk,Date,Rk,School,Prev,Chng,Conf
8,Final,1,Miami (FL) (11-0),1,,Big East
8,Final,2,Nebraska (11-1),3,1,Big 12 (North)
8,Final,3,Colorado (10-2),4,1,Big 12 (North)
8,Final,4,Oregon (10-1),5,1,Pac-10
8,Final,5,Florida (9-2),6,1,SEC (East)
8,Final,6,Tennessee (10-1),2,4,SEC (East)
8,Final,7,Texas (10-2),7,,Big 12 (South)
8,Final,8,Illinois (10-1),8,,Big Ten
8,Final,9,Stanford (9-2),9,,Pac-10
8,Final,10,Maryland (10-1),10,,ACC
8,Final,11,Oklahoma (10-2),11,,Big 12 (South)
8,Final,12,Washington State (9-2),13,1,Pac-10
8,Final,13,LSU (8-3),,,SEC (West)
8,Final,14,South Carolina (8-3),15,1,SEC (East)
8,Final,15,Washington (8-3),14,1,Pac-10
7,2001-12-01,1,Miami (FL) (10-0),1,,Big East
7,2001-12-01,2,Tennessee (9-1),6,4,SEC (East)
7,2001-12-01,3,Nebraska (11-1),4,1,Big 12 (North)
7,2001-12-01,4,Colorado (9-2),7,3,Big 12 (North)
7,2001-12-01,5,Oregon (9-1),5,,Pac-10
7,2001-12-01,6,Florida (9-1),2,4,SEC (East)
7,2001-12-01,7,Texas (10-1),3,4,Big 12 (South)
7,2001-12-01,8,Illinois (10-1),8,,Big Ten
7,2001-12-01,9,Stanford (8-2),10,1,Pac-10
7,2001-12-01,10,Maryland (10-1),11,1,ACC
7,2001-12-01,11,Oklahoma (10-2),9,2,Big 12 (South)
7,2001-12-01,12,BYU (11-0),12,,MWC
7,2001-12-01,13,Washington State (9-2),13,,Pac-10
7,2001-12-01,14,Washington (8-3),14,,Pac-10
7,2001-12-01,15,South Carolina (8-3),,,SEC (East)
6,2001-11-24,1,Miami (FL) (9-0),2,1,Big East
6,2001-11-24,2,Florida (9-1),4,2,SEC (East)
6,2001-11-24,3,Texas (10-1),6,3,Big 12 (South)
6,2001-11-24,4,Nebraska (11-1),1,3,Big 12 (North)
6,2001-11-24,5,Oregon (9-1),5,,Pac-10
6,2001-11-24,6,Tennessee (8-1),7,1,SEC (East)
6,2001-11-24,7,Colorado (9-2),15,8,Big 12 (North)
6,2001-11-24,8,Illinois (10-1),8,,Big Ten
6,2001-11-24,9,Oklahoma (10-1),3,6,Big 12 (South)
6,2001-11-24,10,Stanford (7-2),9,1,Pac-10
6,2001-11-24,11,Maryland (10-1),12,1,ACC
6,2001-11-24,12,BYU (11-0),13,1,MWC
6,2001-11-24,13,Washington State (9-2),14,1,Pac-10
6,2001-11-24,14,Washington (8-2),11,3,Pac-10
6,2001-11-24,15,Georgia (6-3),,,SEC (East)
5,2001-11-17,1,Nebraska (11-0),1,,Big 12 (North)
5,2001-11-17,2,Miami (FL) (8-0),2,,Big East
5,2001-11-17,3,Oklahoma (9-1),3,,Big 12 (South)
5,2001-11-17,4,Florida (8-1),5,1,SEC (East)
5,2001-11-17,5,Oregon (9-1),4,1,Pac-10
5,2001-11-17,6,Texas (9-1),6,,Big 12 (South)
5,2001-11-17,7,Tennessee (7-1),7,,SEC (East)
5,2001-11-17,8,Illinois (8-1),10,2,Big Ten
5,2001-11-17,9,Stanford (6-2),9,,Pac-10
5,2001-11-17,10,Michigan (7-2),11,1,Big Ten
5,2001-11-17,11,Washington (7-2),,,Pac-10
5,2001-11-17,12,Maryland (9-1),12,,ACC
5,2001-11-17,13,BYU (10-0),13,,MWC
5,2001-11-17,14,Washington State (9-1),8,6,Pac-10
5,2001-11-17,15,Colorado (8-2),14,1,Big 12 (North)
4,2001-11-10,1,Nebraska (10-0),1,,Big 12 (North)
4,2001-11-10,2,Miami (FL) (7-0),2,,Big East
4,2001-11-10,3,Oklahoma (8-1),3,,Big 12 (South)
4,2001-11-10,4,Oregon (8-1),6,2,Pac-10
4,2001-11-10,5,Florida (7-1),7,2,SEC (East)
4,2001-11-10,6,Texas (8-1),5,1,Big 12 (South)
4,2001-11-10,7,Tennessee (6-1),4,3,SEC (East)
4,2001-11-10,8,Washington State (8-1),9,1,Pac-10
4,2001-11-10,9,Stanford (5-2),11,2,Pac-10
4,2001-11-10,10,Illinois (7-1),12,2,Big Ten
4,2001-11-10,11,Michigan (6-2),10,1,Big Ten
4,2001-11-10,12,Maryland (8-1),15,3,ACC
4,2001-11-10,13,BYU (9-0),13,,MWC
