Wk,Date,Rk,School,Prev,Chng,1st,Conf
16,Final,1,Georgia (15-0),1,,63,SEC (East)
16,Final,2,Texas Christian (13-2),3,1,,Big 12
16,Final,3,Michigan (13-1),2,1,,Big Ten (East)
16,Final,4,Ohio State (11-2),4,,,Big Ten (East)
16,Final,5,Alabama (11-2),5,,,SEC (West)
16,Final,6,Tennessee (11-2),6,,,SEC (East)
16,Final,7,Penn State (11-2),9,2,,Big Ten (East)
16,Final,8,Washington (11-2),12,4,,Pac-12
16,Final,9,Tulane (12-2),14,5,,American
16,Final,10,Utah (10-4),7,3,,Pac-12
16,Final,11,Florida State (10-3),13,2,,ACC (Atlantic)
16,Final,12,USC (11-3),8,4,,Pac-12
16,Final,13,Clemson (11-3),10,3,,ACC (Atlantic)
16,Final,14,Kansas State (10-4),11,3,,Big 12
16,Final,15,Oregon (10-3),15,,,Pac-12
16,Final,16,LSU (10-4),16,,,SEC (West)
16,Final,17,Oregon State (10-3),17,,,Pac-12
16,Final,18,Notre Dame (9-4),19,1,,Ind
16,Final,19,Troy (12-2),23,4,,Sun Belt (West)
16,Final,20,Mississippi State (9-4),24,4,,SEC (West)
16,Final,21,UCLA (9-4),18,3,,Pac-12
16,Final,22,Pitt (9-4),,,,ACC (Coastal)
16,Final,23,South Carolina (8-5),20,3,,SEC (East)
16,Final,24,Fresno State (10-4),,,,MWC (West)
16,Final,25,Texas (8-5),21,4,,Big 12
15,2022-12-04,1,Georgia (13-0),1,,62,SEC (East)
15,2022-12-04,2,Michigan (13-0),2,,1,Big Ten (East)
15,2022-12-04,3,Texas Christian (12-1),3,,,Big 12
15,2022-12-04,4,Ohio State (11-1),5,1,,Big Ten (East)
15,2022-12-04,5,Alabama (10-2),6,1,,SEC (West)
15,2022-12-04,6,Tennessee (10-2),7,1,,SEC (East)
15,2022-12-04,7,Utah (10-3),12,5,,Pac-12
15,2022-12-04,8,USC (11-2),4,4,,Pac-12
15,2022-12-04,9,Penn State (10-2),8,1,,Big Ten (East)
15,2022-12-04,10,Clemson (11-2),10,,,ACC (Atlantic)
15,2022-12-04,11,Kansas State (10-3),13,2,,Big 12
15,2022-12-04,12,Washington (10-2),9,3,,Pac-12
15,2022-12-04,13,Florida State (9-3),14,1,,ACC (Atlantic)
15,2022-12-04,14,Tulane (11-2),18,4,,American
15,2022-12-04,15,Oregon (9-3),15,,,Pac-12
15,2022-12-04,16,LSU (9-4),11,5,,SEC (West)
15,2022-12-04,17,Oregon State (9-3),16,1,,Pac-12
15,2022-12-04,18,UCLA (9-3),17,1,,Pac-12
15,2022-12-04,19,Notre Dame (8-4),19,,,Ind
15,2022-12-04,20,South Carolina (8-4),20,,,SEC (East)
15,2022-12-04,21,Texas (8-4),21,,,Big 12
15,2022-12-04,22,UTSA (11-2),23,1,,CUSA (West)
15,2022-12-04,23,Troy (11-2),,,,Sun Belt (West)
15,2022-12-04,24,Mississippi State (8-4),25,1,,SEC (West)
15,2022-12-04,25,North Carolina State (8-4),,,,ACC (Atlantic)
14,2022-11-27,1,Georgia (12-0),1,,58,SEC (East)
14,2022-11-27,2,Michigan (12-0),3,1,5,Big Ten (East)
14,2022-11-27,3,Texas Christian (12-0),4,1,,Big 12
14,2022-11-27,4,USC (11-1),5,1,,Pac-12
14,2022-11-27,5,Ohio State (11-1),2,3,,Big Ten (East)
14,2022-11-27,6,Alabama (10-2),8,2,,SEC (West)
14,2022-11-27,7,Tennessee (10-2),9,2,,SEC (East)
14,2022-11-27,8,Penn State (10-2),11,3,,Big Ten (East)
14,2022-11-27,9,Washington (10-2),12,3,,Pac-12
14,2022-11-27,10,Clemson (10-2),7,3,,ACC (Atlantic)
