Wk,Date,Rk,School,Prev,Chng,Conf
8,Final,1,Auburn (13-0),1,,SEC (West)
8,Final,2,Oregon (12-0),2,,Pac-10
8,Final,3,Texas Christian (12-0),3,,MWC
8,Final,4,Stanford (11-1),4,,Pac-10
8,Final,5,Wisconsin (11-1),5,,Big Ten
8,Final,6,Ohio State (11-1),6,,Big Ten
8,Final,7,Oklahoma (11-2),9,2,Big 12 (South)
8,Final,8,Arkansas (10-2),7,1,SEC (West)
8,Final,9,Michigan State (11-1),8,1,Big Ten
8,Final,10,Boise State (11-1),11,1,WAC
8,Final,11,LSU (10-2),10,1,SEC (West)
8,Final,12,Missouri (10-2),12,,Big 12 (North)
8,Final,13,Virginia Tech (11-2),15,2,ACC (Coastal)
8,Final,14,Oklahoma State (10-2),14,,Big 12 (South)
8,Final,15,Nevada (12-1),17,2,WAC
8,Final,16,Alabama (9-3),16,,SEC (West)
8,Final,17,Texas A&M (9-3),18,1,Big 12 (South)
8,Final,18,Nebraska (10-3),13,5,Big 12 (North)
8,Final,19,Utah (10-2),20,1,MWC
8,Final,20,South Carolina (9-4),19,1,SEC (East)
8,Final,21,Mississippi State (8-4),22,1,SEC (West)
8,Final,22,West Virginia (9-3),24,2,Big East
8,Final,23,Florida State (9-4),21,2,ACC (Atlantic)
8,Final,24,Hawaii (10-3),,,WAC
8,Final,25,UCF (10-3),,,CUSA (East)
7,2010-11-28,1,Auburn (12-0),2,1,SEC (West)
7,2010-11-28,2,Oregon (11-0),1,1,Pac-10
7,2010-11-28,3,Texas Christian (12-0),3,,MWC
7,2010-11-28,4,Stanford (11-1),6,2,Pac-10
7,2010-11-28,5,Wisconsin (11-1),7,2,Big Ten
7,2010-11-28,6,Ohio State (11-1),8,2,Big Ten
7,2010-11-28,7,Arkansas (10-2),12,5,SEC (West)
7,2010-11-28,8,Michigan State (11-1),10,2,Big Ten
7,2010-11-28,9,Oklahoma (10-2),13,4,Big 12 (South)
7,2010-11-28,10,LSU (10-2),5,5,SEC (West)
7,2010-11-28,11,Boise State (10-1),4,7,WAC
7,2010-11-28,12,Missouri (10-2),14,2,Big 12 (North)
7,2010-11-28,13,Nebraska (10-2),15,2,Big 12 (North)
7,2010-11-28,14,Oklahoma State (10-2),9,5,Big 12 (South)
7,2010-11-28,15,Virginia Tech (10-2),16,1,ACC (Coastal)
7,2010-11-28,16,Alabama (9-3),11,5,SEC (West)
7,2010-11-28,17,Nevada (11-1),19,2,WAC
7,2010-11-28,18,Texas A&M (9-3),17,1,Big 12 (South)
7,2010-11-28,19,South Carolina (9-3),18,1,SEC (East)
7,2010-11-28,20,Utah (10-2),20,,MWC
7,2010-11-28,21,Florida State (9-3),22,1,ACC (Atlantic)
7,2010-11-28,22,Mississippi State (8-4),25,3,SEC (West)
7,2010-11-28,23,Arizona (7-4),21,2,Pac-10
7,2010-11-28,24,West Virginia (8-3),,,Big East
7,2010-11-28,25,Northern Illinois (10-2),,,MAC (West)
6,2010-11-21,1,Oregon (10-0),1,,Pac-10
6,2010-11-21,2,Auburn (11-0),2,,SEC (West)
6,2010-11-21,3,Texas Christian (11-0),3,,MWC
6,2010-11-21,4,Boise State (10-0),4,,WAC
6,2010-11-21,5,LSU (10-1),5,,SEC (West)
6,2010-11-21,6,Stanford (10-1),6,,Pac-10
6,2010-11-21,7,Wisconsin (10-1),7,,Big Ten
6,2010-11-21,8,Ohio State (10-1),9,1,Big Ten
6,2010-11-21,9,Oklahoma State (10-1),10,1,Big 12 (South)
6,2010-11-21,10,Michigan State (10-1),12,2,Big Ten
6,2010-11-21,11,Alabama (9-2),11,,SEC (West)
6,2010-11-21,12,Arkansas (9-2),13,1,SEC (West)
6,2010-11-21,13,Oklahoma (9-2),14,1,Big 12 (South)
