Wk,Date,Rk,School,Prev,Chng,Conf
16,Final,1,Oregon (13-0),1,,Big Ten
16,Final,2,Georgia (11-2),5,3,SEC
16,Final,3,Texas (11-2),2,1,SEC
16,Final,4,Penn State (11-2),3,1,Big Ten
16,Final,5,Notre Dame (11-1),4,1,Ind
16,Final,6,Ohio State (10-2),6,,Big Ten
16,Final,7,Tennessee (10-2),7,,SEC
16,Final,8,Indiana (11-1),9,1,Big Ten
16,Final,9,Boise State (12-1),10,1,MWC
16,Final,10,SMU (11-2),8,2,ACC
16,Final,11,Alabama (9-3),11,,SEC
16,Final,12,Arizona State (11-2),15,3,Big 12
16,Final,13,Miami (FL) (10-2),12,1,ACC
16,Final,14,Ole Miss (9-3),13,1,SEC
16,Final,15,South Carolina (9-3),14,1,SEC
16,Final,16,Clemson (10-3),17,1,ACC
16,Final,17,BYU (10-2),18,1,Big 12
16,Final,18,Iowa State (10-3),16,2,Big 12
16,Final,19,Missouri (9-3),19,,SEC
16,Final,20,Illinois (9-3),21,1,Big Ten
16,Final,21,Syracuse (9-3),22,1,ACC
16,Final,22,Army (11-1),24,2,American
16,Final,23,Colorado (9-3),23,,Big 12
16,Final,24,Nevada-Las Vegas (10-3),20,4,MWC
16,Final,25,Memphis (10-2),25,,American
15,2024-12-03,1,Oregon (12-0),1,,Big Ten
15,2024-12-03,2,Texas (11-1),3,1,SEC
15,2024-12-03,3,Penn State (11-1),4,1,Big Ten
15,2024-12-03,4,Notre Dame (11-1),5,1,Ind
15,2024-12-03,5,Georgia (10-2),7,2,SEC
15,2024-12-03,6,Ohio State (10-2),2,4,Big Ten
15,2024-12-03,7,Tennessee (10-2),8,1,SEC
15,2024-12-03,8,SMU (11-1),9,1,ACC
15,2024-12-03,9,Indiana (11-1),10,1,Big Ten
15,2024-12-03,10,Boise State (11-1),11,1,MWC
15,2024-12-03,11,Alabama (9-3),13,2,SEC
15,2024-12-03,12,Miami (FL) (10-2),6,6,ACC
15,2024-12-03,13,Ole Miss (9-3),14,1,SEC
15,2024-12-03,14,South Carolina (9-3),15,1,SEC
15,2024-12-03,15,Arizona State (10-2),16,1,Big 12
15,2024-12-03,16,Iowa State (10-2),18,2,Big 12
15,2024-12-03,17,Clemson (9-3),12,5,ACC
15,2024-12-03,18,BYU (10-2),19,1,Big 12
15,2024-12-03,19,Missouri (9-3),21,2,SEC
